Цитата;Автор;Контекст (До);Контекст (После)
украсил его всякою добродетелью;Авва Дорофей;Поучение 1. Об отвержении мира;И так он пребывал там, в наслаждении райском, в молитве, в созерцании, во всякой славе и чести, имея чувства здравые и находясь в том естественном (состоянии), в каком был создан. Ибо Бог сотворил человека по образу Своему, то есть бессмертным, самовластным и украшенным всякою добродетелью.
отпал от естественного (состояния) и впал в противоестественное;Авва Дорофей;И так он пребывал там, в наслаждении райском, в молитве, в созерцании, во всякой славе и чести, имея чувства здравые и находясь в том естественном (состоянии), в каком был создан. Ибо Бог сотворил человека по образу Своему, то есть бессмертным, самовластным и украшенным всякою добродетелью.;Тогда мало-помалу начало возрастать зло и воцарилась смерть. Нигде не стало Богопочтения, а повсюду было неведение Бога.
сам сделался рабом их чрез преступление;Авва Дорофей;И так он пребывал там, в наслаждении райском, в молитве, в созерцании, во всякой славе и чести, имея чувства здравые и находясь в том естественном (состоянии), в каком был создан. Ибо Бог сотворил человека по образу Своему, то есть бессмертным, самовластным и украшенным всякою добродетелью.;Тогда мало-помалу начало возрастать зло и воцарилась смерть. Нигде не стало Богопочтения, а повсюду было неведение Бога.
Тогда мало-помалу начало возрастать зло и воцарилась смерть;Авва Дорофей;Ибо Бог сотворил человека по образу Своему, то есть бессмертным, самовластным и украшенным всякою добродетелью. Но когда он преступил заповедь, вкусивши плод древа, от которого Бог заповедал ему не вкушать, тогда он был изгнан из рая (Быт. 3), отпал от естественного (состояния) и впал в противоестественное и пребывал уже в грехе, в славолюбии, в любви к наслаждениям века сего и в прочих страстях, и был обладаем ими, ибо сам сделался рабом их чрез преступление.;Нигде не стало Богопочтения, а повсюду было неведение Бога. Только немногие, как сказали отцы наши, побуждаемые естественным законом, знали Бога, каковы были Авраам и прочие патриархи, и Ной, и Иаков, короче сказать, очень немногие и весьма редкие знали Бога.
Нигде не стало Богопочтения, а повсюду было неведение Бога;Авва Дорофей;Но когда он преступил заповедь, вкусивши плод древа, от которого Бог заповедал ему не вкушать, тогда он был изгнан из рая (Быт. 3), отпал от естественного (состояния) и впал в противоестественное и пребывал уже в грехе, в славолюбии, в любви к наслаждениям века сего и в прочих страстях, и был обладаем ими, ибо сам сделался рабом их чрез преступление. Тогда мало-помалу начало возрастать зло и воцарилась смерть.;Только немногие, как сказали отцы наши, побуждаемые естественным законом, знали Бога, каковы были Авраам и прочие патриархи, и Ной, и Иаков, короче сказать, очень немногие и весьма редкие знали Бога. Ибо тогда враг излил всю злобу свою, и поелику воцарился грех, то начались: идолослужение, многобожие, чародейства, убийство и прочее диавольское зло.
враг излил всю злобу свою;Авва Дорофей;Нигде не стало Богопочтения, а повсюду было неведение Бога. Только немногие, как сказали отцы наши, побуждаемые естественным законом, знали Бога, каковы были Авраам и прочие патриархи, и Ной, и Иаков, короче сказать, очень немногие и весьма редкие знали Бога.;И тогда-то благий Бог, умилосердившись над своим созданием, дал чрез Моисея написанный закон, в котором одно запретил, а другое повелел, как бы говоря: это делайте, а сего не делайте. Он дал заповедь, и прежде всего говорит: Господь Бог твой, Господь един есть (Второзак. 6, 4), чтобы чрез сие отвлечь ум их от многобожия.
благий Бог, умилосердившись над своим созданием;Авва Дорофей;Только немногие, как сказали отцы наши, побуждаемые естественным законом, знали Бога, каковы были Авраам и прочие патриархи, и Ной, и Иаков, короче сказать, очень немногие и весьма редкие знали Бога. Ибо тогда враг излил всю злобу свою, и поелику воцарился грех, то начались: идолослужение, многобожие, чародейства, убийство и прочее диавольское зло.;Он дал заповедь, и прежде всего говорит: Господь Бог твой, Господь един есть (Второзак. 6, 4), чтобы чрез сие отвлечь ум их от многобожия. И опять говорит: и возлюбиши Господа Бога твоего всею душею твоею, и всею мыслию твоею (Ст. 5).
Господь Бог твой, Господь един есть;Авва Дорофей;Ибо тогда враг излил всю злобу свою, и поелику воцарился грех, то начались: идолослужение, многобожие, чародейства, убийство и прочее диавольское зло. И тогда-то благий Бог, умилосердившись над своим созданием, дал чрез Моисея написанный закон, в котором одно запретил, а другое повелел, как бы говоря: это делайте, а сего не делайте.;И опять говорит: и возлюбиши Господа Бога твоего всею душею твоею, и всею мыслию твоею (Ст. 5). И везде возвещает, что един Бог, и един Господь, и что нет иного.
зло не частное, не на одном месте, но во всем теле, объяло всю душу, овладело всеми силами ее;Авва Дорофей;Итак, Благий Бог дал закон в помощь для обращения от зла, для исправления оного, однако оно не исправилось. Послал пророков, но и они успеха не имели, ибо зло превозмогло, как говорит Исаия: ни струп, ни язва, ни рана палящаяся, несть пластыря приложити, ниже елея, ниже обязания (Исаия 1, 6).;И Иеремия также говорит: врачевахом Вавилона и не исцеле (Иер. 51, 9), то есть мы явили имя Твое, возвестили заповеди Твои, благодеяния и обетования, предсказали Вавилону нашествие врагов, но он не исцелел, то есть не покаялся, не убоялся, не обратился от злых дел своих. Так в другом месте говорит: не приясте наказания (Иерем. 2, 30), то есть вразумления или наставления.
несть пластыря приложити, ниже елея, ниже обязания;Авва Дорофей;И опять в Десятословии говоря: Господу Богу твоему поклонишися, и Тому Единому послужиши, и к Нему прилепишися, и именем Его кленешися (Второзак. 6, 13), потом присовокупляет: да не будут тебе бози инии, ниже всяко подобие, елико на небеси горе, и елико на земли низу (Исход. 20, 3, 4), ибо люди служили всем тварям. Итак, Благий Бог дал закон в помощь для обращения от зла, для исправления оного, однако оно не исправилось.;Как бы сказал: зло не частное, не на одном месте, но во всем теле, объяло всю душу, овладело всеми силами ее, несть пластыря приложити и проч., то есть все стало подвластно греху, всем он обладает. И Иеремия также говорит: врачевахом Вавилона и не исцеле (Иер. 51, 9), то есть мы явили имя Твое, возвестили заповеди Твои, благодеяния и обетования, предсказали Вавилону нашествие врагов, но он не исцелел, то есть не покаялся, не убоялся, не обратился от злых дел своих.
